,year,month,duration
0,2022,9,0 days 00:59:00
1,2022,10,0 days 00:30:00
2,2022,11,0 days 01:00:00
3,2022,12,0 days 01:00:00
4,2023,1,0 days 03:00:00
5,2023,2,0 days 02:05:00
6,2023,3,0 days 02:10:00
7,2023,4,0 days 02:00:00
8,2023,5,0 days 00:30:00
9,2023,6,0 days 02:30:00
10,2023,7,0 days 01:30:00
11,2023,8,0 days 00:30:00
12,2023,9,0 days 05:30:00
13,2023,10,0 days 01:00:00
14,2023,11,0 days 02:00:00
15,2023,12,0 days 01:00:00
16,2024,1,0 days 01:10:00
17,2024,2,0 days 08:00:00
18,2024,3,0 days 04:00:00
19,2024,4,0 days 08:00:00
20,2024,5,0 days 08:00:00
21,2024,6,0 days 08:00:00
22,2024,7,0 days 01:00:00
23,2024,8,0 days 08:00:00
24,2024,9,0 days 00:10:00
25,2024,10,0 days 00:10:00
26,2024,11,0 days 00:30:00
27,2024,12,0 days 00:50:00
28,2025,1,0 days 00:30:00
29,2025,2,0 days 00:10:00
30,2025,3,0 days 06:00:00
31,2025,4,0 days 00:15:00
32,2025,5,0 days 01:10:00
33,2025,6,0 days 00:10:00
34,2025,7,0 days 00:10:00
35,2025,8,0 days 00:10:00
36,2025,9,0 days 00:10:00
37,2025,10,0 days 00:10:00
38,2025,11,0 days 00:20:00
39,2025,12,0 days 01:00:00
40,2026,1,0 days 00:05:00
41,2026,2,0 days 00:10:00
42,2026,3,0 days 01:00:00
